,NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,PT08.S1(CO)
1271,-200,22.8,1371,1058,500,235,1484,1919,8.5,49.6,0.5517,1411
1272,-200,0.3,412,39,1964,29,779,274,10.6,36.1,0.4624,647
1273,-200,16.1,1182,470,525,194,1411,1545,12.5,43.4,0.6298,1344
1274,-200,16.2,1185,224,649,125,1968,1328,22.9,48.7,1.3416,1203
1275,-200,0.5,446,-200,1523,-200,918,360,11.5,50.4,0.6815,703
1276,-200,16.3,1189,566,534,274,1325,1656,7.7,49.8,0.5267,1308
1277,-200,13.8,1110,565,568,241,1208,1776,12.2,34.3,0.4864,1322
1278,-200,2.8,641,95,1013,70,940,784,4.2,77,0.6439,957
1279,-200,1.5,545,-200,1210,-200,853,450,9.3,44,0.5153,796
1280,-200,9.2,947,89,728,86,1763,1039,25.2,51,1.6131,1069
1281,-200,4.7,747,216,1001,114,1020,657,9.6,52.4,0.6276,901
1282,-200,9.9,976,-200,719,-200,1753,869,35.6,30.6,1.7493,1094
1283,-200,4.1,715,-200,889,-200,1315,858,15.4,79,1.3735,874
1284,-200,13.3,1094,-200,706,-200,1537,926,29.6,24.3,0.9889,1083
1285,-200,14.8,1142,145,778,88,1965,1084,26.2,46.4,1.5573,1223
1286,-200,4.9,760,47,979,57,1314,513,36.1,18.4,1.0827,872
1287,-200,9.2,946,-200,691,-200,1234,1043,12.7,56.7,0.8304,1092
1288,-200,4.6,744,187,863,95,1069,949,7,73.6,0.7417,991
1289,-200,7.4,873,339,739,107,1150,1193,8.6,70.5,0.7915,1071
1290,-200,2.2,598,-200,1122,-200,912,537,9.7,46,0.5546,832
1291,-200,-200,-200,299,-200,149,-200,-200,-200,-200,-200,-200
1292,-200,23.5,1391,228,552,102,2316,1548,24.7,49.5,1.5201,1384
1293,-200,5.1,771,149,830,60,1420,900,21.3,69.5,1.7447,966
1294,-200,18.1,1243,641,1261,121,1638,1318,9,79.8,0.9203,1318
1295,-200,2.7,632,-200,1037,-200,1322,713,17.8,72.3,1.4546,860
1296,-200,4.3,727,151,917,50,1290,833,16.9,70.5,1.3504,890
1297,-200,20.4,1307,706,497,165,1483,2103,6.1,60.5,0.5719,1458
1298,236,9.3,950,124,907,109,1496,924,17.3,38.8,0.7584,1081
1299,-200,9.6,964,149,828,137,1546,786,32.9,20.1,0.9902,1002
1300,-200,6.3,825,-200,950,-200,1629,938,15.7,73.1,1.2902,1009
1301,-200,9.1,945,498,724,93,1147,1038,4,84.4,0.6943,1016
1302,31,1.5,545,44,1473,58,1131,436,14.6,36,0.5947,909
1303,-200,6.3,826,82,857,91,1627,777,26.9,45.5,1.5926,1022
1304,-200,2.4,611,135,1053,95,918,562,8.8,52.1,0.5918,859
1305,-200,2.9,645,71,1245,68,1364,480,20.7,43.4,1.047,847
1306,188,11.8,1042,122,934,108,1538,830,18.7,26,0.5555,1147
1307,-200,13.2,1089,153,620,116,1886,1208,26.4,54.6,1.8459,1126
1308,-200,3.3,672,141,887,111,954,1031,4.7,64.6,0.5568,973
1309,-200,17.4,1223,460,545,120,1720,1414,23.7,49.8,1.4433,1305
1310,-200,8.7,927,102,915,82,1781,878,22.8,56.1,1.5353,1026
1311,-200,15.1,1152,164,798,93,1877,1947,27.3,34.3,1.2284,1138
1312,-200,17.2,1216,476,522,166,1545,1415,15.8,48.9,0.8707,1284
1313,-200,2.5,622,37,1129,58,1321,689,21.2,39.4,0.9802,763
1314,-200,8.8,933,338,620,176,1144,1489,5.2,65.5,0.5836,1250
1315,-200,2.3,604,85,848,65,1160,762,14.5,66.4,1.0919,993
1316,-200,1.2,522,24,1385,40,1343,509,19.8,50.3,1.1444,719
1317,-200,4.7,748,40,878,49,1559,742,23.7,54.6,1.5823,916
1318,-200,11.6,1037,-200,749,-200,1429,904,19.8,41.5,0.9489,1047
1319,-200,2.2,599,32,1262,45,1235,564,13.5,50.1,0.7706,792
1320,-200,7.6,881,-200,810,-200,1486,792,21.8,48.6,1.2556,893
1321,776,22,1350,256,588,125,2096,1604,18.4,46.3,0.9734,1524
1322,-200,6.4,832,50,794,67,1580,1160,26.4,47.1,1.5947,1044
1323,-200,2.5,619,32,1163,44,1417,475,29.8,38.6,1.5911,869
1324,-200,1.3,532,96,1416,62,814,393,10.9,33.5,0.4378,696
1325,-200,3.8,701,-200,971,-200,1381,704,24.7,36.4,1.1158,908
1326,-200,0.2,402,34,1665,31,684,257,2.8,52.6,0.3972,779
1327,-200,6.4,830,89,995,72,1339,577,30.1,19.4,0.8157,843
1328,-200,7.1,862,54,995,64,1476,530,31.5,21.9,0.997,1117
1329,-200,14,1116,202,779,180,1602,877,32.2,17.1,0.8124,1009
1330,-200,7.6,882,132,756,71,1560,635,34.5,28.6,1.5393,1040
1331,-200,9.1,943,333,611,188,1224,1390,14.6,44.5,0.7337,1210
1332,205,9.3,952,144,845,108,1577,1204,13.5,54.1,0.8351,1149
1333,-200,2.6,624,129,987,108,825,871,0.8,53.8,0.3542,898
1334,-200,3.1,656,55,1042,50,1271,665,22.1,49.8,1.3094,843
1335,-200,31.7,1590,1189,412,178,1949,2025,10.4,79.3,0.9993,1693
1336,-200,21.2,1329,250,594,141,2102,1602,19.1,52.3,1.1486,1428
1337,-200,7.8,890,272,850,121,1139,808,11.5,46.4,0.6302,897
1338,-200,20.7,1315,403,544,116,1874,1341,19.2,66.4,1.4592,1247
1339,-200,6.4,828,51,793,68,1589,631,27.7,47.4,1.7344,954
1340,-200,13.1,1087,112,658,100,1954,1252,27.3,51,1.8287,1199
1341,-200,24,1403,757,418,243,1789,1589,4.6,80.3,0.6889,1501
1342,-200,3.6,688,-200,1015,-200,897,840,11.7,33.8,0.4623,890
1343,-200,14.3,1127,649,558,247,1277,1641,12.1,36.9,0.5212,1280
1344,-200,0.7,470,81,1313,61,762,382,4.3,42.5,0.3556,801
1345,-200,9,940,-200,820,-200,1380,728,32.4,19.4,0.9279,958
1346,-200,3.6,687,75,1191,78,1388,521,20.3,44.1,1.0392,865
1347,-200,12.2,1056,311,624,68,1562,1099,17,76.1,1.4582,1119
1348,523,23.2,1384,352,579,109,2176,1600,12.8,71,1.0428,1657
1349,-200,3.8,698,240,1034,110,905,815,2.5,59.3,0.4401,847
1350,-200,26.4,1465,597,451,158,2043,1786,24.9,48.3,1.4942,1495
1351,-200,20.2,1302,417,507,139,1786,1465,24.7,47.4,1.4527,1337
1352,-200,8.6,924,113,1015,93,1463,835,25,24.2,0.7568,988
1353,-200,4.8,752,-200,889,-200,1310,687,25,37.3,1.1614,932
1354,-200,7,857,-200,994,-200,1308,598,33.9,21.2,1.0989,1045
1355,-200,8.2,909,456,684,250,1023,1384,4.1,55,0.4558,1156
1356,-200,19.4,1279,163,660,120,2009,1308,23.5,43.7,1.2484,1407
1357,-200,14.7,1141,399,670,200,1018,1196,10.4,18,0.2269,1035
1358,-200,11.1,1019,-200,921,-200,1720,950,26.2,33.6,1.1244,980
1359,-200,40.3,1776,-200,478,-200,2684,1940,14,58.2,0.9271,1726
1360,-200,15.9,1177,238,548,92,1775,1266,29.6,42.3,1.7248,1378
1361,-200,63.7,2214,801,411,218,1629,2311,6.2,51.8,0.4952,1394
1362,-200,5.4,781,295,809,81,1195,1019,10.6,78.8,1.008,1023
1363,-200,17.2,1217,704,552,169,1409,1444,7.6,53.5,0.5605,1298
1364,-200,15,1148,496,651,174,1178,1389,2.2,58.1,0.4218,1184
1365,-200,2.3,608,41,1035,30,1465,597,28.3,49.5,1.8782,863
1366,-200,13.8,1111,201,770,110,1753,1069,25.1,32.4,1.017,1024
1367,-200,10.3,989,375,664,141,1096,1133,11.1,32.2,0.4243,1109
1368,-200,9.2,949,95,927,57,1764,977,19.5,68,1.5269,1021
1369,-200,0.4,428,31,1532,30,757,296,3.9,50.9,0.4144,763
1370,-200,26.4,1463,765,435,189,1720,1802,7.9,77.1,0.8223,1512
1371,61,4.7,749,94,1325,85,1333,821,8.2,63.4,0.6905,965
1372,55,3.8,697,84,1260,82,1383,605,8.1,79,0.8544,1038
1373,-200,11.1,1020,-200,744,-200,1478,752,21.6,40.4,1.0309,1017
1374,-200,6,811,75,896,86,1343,553,33.8,22.8,1.1781,934
1375,25,2.6,626,59,1316,59,1373,840,12.3,66.2,0.945,941
1376,-200,-200,-200,426,-200,165,-200,-200,-200,-200,-200,-200
1377,-200,4.9,759,200,773,124,1119,751,21,37.3,0.9139,996
1378,-200,12.3,1061,138,812,122,1648,1174,22.2,33.4,0.8806,1159
1379,-200,7.4,873,317,697,195,1206,1000,6.7,76.2,0.7519,1121
1380,-200,14.7,1140,590,567,164,1388,1433,10.2,63.6,0.7928,1240
1381,-200,6,812,77,961,78,1518,910,14.2,64.1,1.0346,959
1382,-200,29.7,1544,669,367,232,1999,1878,18.6,46.4,0.9867,1609
1383,-200,10.4,993,290,597,160,1208,841,25,23.4,0.7301,1171
1384,-200,3.8,699,140,1223,78,799,501,15.9,18.2,0.3255,759
1385,-200,5,764,196,910,107,1029,992,9.5,51,0.6045,974
1386,-200,7.9,895,233,892,89,1413,859,24.3,39.5,1.1842,982
1387,-200,5.7,796,62,870,80,1538,560,28.1,41.1,1.535,919
1388,-200,20.1,1299,443,580,135,2016,1380,23.9,58.9,1.7276,1312
1389,-200,15.6,1167,347,572,105,1704,1393,25.5,52.3,1.6796,1248
1390,59,3.8,699,-200,1191,-200,1292,851,7.9,63.5,0.6777,1026
1391,-200,7.1,861,282,642,135,1234,898,16.4,43.5,0.8055,1217
1392,-200,6.9,853,323,821,111,1052,1038,4,69,0.5661,992
1393,-200,22,1351,729,516,254,1557,1751,12.4,56.8,0.8141,1407
1394,-200,12.6,1069,112,785,106,1766,817,36.1,22.7,1.3324,1054
1395,-200,5.5,788,112,1203,85,1162,598,22.3,17,0.4513,847
1396,-200,25.7,1446,987,1070,171,1834,1679,12.7,77.1,1.1251,1544
1397,-200,2.7,630,69,1033,35,1253,748,16.8,71.9,1.3628,823
1398,-200,18,1238,344,548,98,1805,1368,28,39.6,1.4738,1361
1399,-200,14.8,1143,639,569,128,1531,1406,15.9,62.7,1.1273,1245
1400,-200,2,587,106,921,90,1017,846,11.5,56.8,0.7706,966
1401,695,21.5,1337,283,674,150,1852,1689,16.3,28.8,0.5305,1556
1402,-200,11.6,1035,117,826,86,1643,877,24.2,31.2,0.9257,1105
1403,-200,6.5,836,66,848,79,1577,616,31.1,38.8,1.7295,1010
1404,26,3,650,68,1251,71,1333,893,10.9,62.1,0.8113,938
1405,-200,9.2,948,357,628,121,1129,1540,5.9,65.8,0.6178,1206
1406,-200,21.9,1348,-200,565,-200,1830,1445,39.3,16,1.1138,1229
1407,-200,3.1,661,-200,1074,-200,1207,710,14,67.4,1.0703,825
1408,-200,13.4,1097,-200,743,-200,1847,1049,16.5,58.2,1.0813,1194
1409,-200,10.1,981,402,755,186,1104,1383,10.9,33.8,0.4393,1067
1410,-200,8,900,-200,782,-200,1493,830,28.1,34.3,1.2821,958
1411,-200,16.3,1190,624,531,127,1509,1391,8.2,74.9,0.8184,1326
1412,-200,13.6,1102,523,507,187,1375,1583,18.2,36.3,0.7487,1297
1413,-200,14.5,1134,427,683,168,1283,1281,13.6,34,0.5251,1101
1414,-200,21,1323,803,496,115,1727,1568,10.3,80.3,1.002,1423
1415,-200,12.6,1071,431,590,244,1331,1240,4.6,78.2,0.6686,1224
1416,-200,19.3,1277,495,459,144,1603,1631,13.3,61.2,0.933,1419
1417,-200,6.8,848,277,751,71,1266,972,11.4,81.1,1.0928,1032
1418,-200,2.5,618,23,1039,25,1354,560,23.6,49.2,1.4153,828
1419,14,0.5,448,16,1923,26,1003,263,13.5,37.9,0.5852,785
1420,-200,3.8,702,147,904,75,1185,753,15.2,61.8,1.0602,938
1421,-200,37.1,1709,515,399,128,2370,1876,24,50.6,1.4892,1747
1422,275,13.7,1107,167,718,108,1872,1384,17.7,66.9,1.3422,1406
1423,-200,4,713,143,754,108,1001,1433,2.9,67.9,0.5183,1104
1424,,,,,,,,,,,,
1425,-200,16.7,1201,167,738,164,1834,945,33.1,24.3,1.2087,1091
1426,-200,5.4,784,27,870,36,1530,652,39.5,24.3,1.7216,966
1427,93,11,1013,190,889,129,1611,1535,13.9,53.6,0.8498,1534
1428,-200,13.5,1099,113,749,97,1854,1087,21.8,47.8,1.2325,1081
1429,-200,5.4,785,243,853,157,969,704,4.2,50.1,0.4168,938
1430,135,8,900,137,934,96,1471,919,13.8,47.4,0.7435,1044
1431,-200,4.4,735,-200,890,-200,1410,781,23,46.2,1.2783,902
1432,-200,32,1597,666,392,125,2176,1845,21.6,62,1.5784,1584
1433,-200,23.3,1386,274,565,115,2196,1596,22.9,49.1,1.3546,1337
1434,-200,4.8,753,45,1173,56,1311,468,30.6,19.4,0.8348,941
1435,-200,11.2,1021,-200,747,-200,1451,786,31.7,20.3,0.9336,1037
1436,-200,6.5,835,260,796,94,1263,911,12.4,80.1,1.1462,1015
1437,-200,4.1,716,-200,994,-200,1380,933,20.4,42.6,1.0083,820
1438,-200,14,1117,402,486,137,1596,1521,17.7,63.3,1.2729,1407
1439,-200,5.8,801,186,772,99,1288,876,13.6,68.9,1.0699,1163
1440,-200,8,899,100,846,97,1588,820,23.4,43.2,1.229,1022
1441,-200,2.6,627,72,1069,38,1306,709,17.2,74,1.4388,791
1442,-200,3.6,685,33,1051,44,1339,462,38.2,19.6,1.2915,840
1443,-200,16.8,1204,626,534,251,1294,1592,5.9,44.3,0.4137,1341
1444,-200,3,649,166,1009,104,854,588,6.6,40.2,0.3944,887
1445,-200,5.8,803,56,806,62,1586,1003,24.4,50.5,1.5243,968
1446,-200,1.7,560,101,1107,82,787,430,3.2,46.9,0.3658,863
1447,-200,17.5,1226,521,543,83,1848,1365,20,73.2,1.6965,1318
1448,-200,10.8,1006,497,572,170,1349,1395,13.7,51.9,0.8106,1243
1449,-200,13.3,1093,373,581,129,1354,1356,11,67.1,0.8766,1283
1450,-200,5.3,780,39,974,54,1374,532,37.6,16.4,1.0458,982
1451,-200,21,1324,-200,537,-200,1907,1412,19.3,59.6,1.3195,1340
1452,-200,9,939,292,737,118,1126,1317,11.2,45.1,0.6004,1124
1453,-200,7.6,882,154,745,68,1431,962,25,49.1,1.5295,1071
1454,-200,25.6,1444,402,510,173,2056,1446,27.2,45.9,1.6302,1421
1455,33,2.5,619,29,1191,39,1345,677,16.3,52.8,0.9722,856
1456,-200,3.7,694,266,900,169,1020,756,3.9,79.5,0.6482,992
1457,-200,17.7,1229,405,511,99,1820,1466,21.8,69.6,1.79,1378
1458,-200,-200,-200,821,-200,147,-200,-200,-200,-200,-200,-200
1459,-200,16.2,1186,192,649,104,1973,1308,17.7,70.8,1.4171,1309
1460,-200,17.1,1212,-200,575,-200,1717,1332,28.4,37.6,1.4282,1301
1461,-200,2.6,629,143,994,83,941,852,3.1,68.7,0.5317,924
1462,-200,3.6,691,205,878,97,1056,902,7.7,71.9,0.7575,985
1463,-200,26.5,1468,-200,474,-200,1945,1746,19.4,61.1,1.3652,1455
1464,-200,2.5,619,10,1254,19,1272,386,32.2,20,0.9488,775
1465,197,-200,-200,108,-200,81,-200,-200,-200,-200,-200,-200
1466,-200,5.9,809,69,912,69,1530,807,20.5,49.3,1.176,914
1467,-200,8.9,935,158,701,62,1565,960,24.9,56,1.7367,1181
1468,-200,20.5,1311,-200,544,-200,1878,1311,14.8,80.4,1.3428,1359
1469,-200,9.2,949,-200,838,-200,1706,1069,14.6,74.9,1.2348,1228
1470,-200,9.8,970,95,826,93,1684,763,34.7,22.6,1.2297,1014
1471,-200,14.5,1132,538,541,136,1488,1470,10.3,82.8,1.0369,1523
1472,-200,1.4,535,93,1193,67,1020,524,12.5,57.3,0.8269,862
1473,-200,7.1,861,331,839,160,977,943,8.3,38.5,0.4228,1008
1474,-200,10.4,992,324,601,168,1211,906,18.2,28.1,0.5817,1161
1475,-200,9.8,971,357,683,172,1059,1332,7.8,41.3,0.4389,1133
1476,-200,18.5,1255,-200,555,-200,1694,1452,27.2,33.3,1.1788,1194
1477,-200,9.3,952,366,541,124,1443,1393,19.1,57.5,1.2569,1317
1478,-200,24.5,1416,-200,485,-200,1894,1671,17.6,64.9,1.2925,1399
1479,-200,11.2,1021,395,689,168,1361,1036,11.5,78.1,1.0565,1109
1480,-200,1.2,520,30,1526,42,1287,377,20.5,46.8,1.1152,767
1481,-200,4.8,756,-200,809,-200,1518,825,22.7,58.1,1.5856,952
1482,-200,19.9,1294,667,615,177,1595,2236,21,37.2,0.9155,1274
1483,,,,,,,,,,,,
1484,-200,17.6,1226,538,521,173,1554,1457,14.6,54,0.8946,1303
1485,-200,8,899,245,710,119,1279,948,13.3,63.6,0.9661,1114
1486,-200,3.6,688,196,814,115,935,1204,2.5,64.8,0.4807,1042
1487,516,22.3,1360,205,656,129,2037,1439,24.9,29.9,0.9325,1398
1488,-200,-200,-200,502,-200,166,-200,-200,-200,-200,-200,-200
1489,-200,9.1,945,143,904,116,1604,1081,14.7,57.6,0.9573,1175
1490,-200,16,1179,421,573,210,1268,1387,8.5,39,0.4336,1253
1491,-200,15.1,1151,147,747,125,1820,1125,25.5,37.4,1.1995,1403
1492,-200,8.9,935,352,642,153,1323,1144,14.5,57.5,0.944,1221
1493,-200,17.4,1221,197,648,123,1946,1401,17.5,56.4,1.1175,1300
1494,-200,11.8,1043,149,804,174,1647,749,34.8,19.3,1.0543,1035
1495,-200,13.5,1102,403,536,116,1488,1323,11.8,66.3,0.9174,1303
1496,-200,5.5,790,46,871,64,1447,875,24.3,38.1,1.1398,971
1497,-200,3.4,675,-200,1155,-200,1337,841,16.7,46.5,0.8755,866
1498,-200,4.2,724,216,861,134,938,1067,1.3,63.1,0.4322,996
1499,-200,2.5,620,118,928,94,946,570,10.6,45.8,0.5838,996
1500,254,-200,-200,237,-200,122,-200,-200,-200,-200,-200,-200
1501,-200,4.3,725,53,976,56,1471,668,21.1,53.2,1.3181,872
1502,-200,3.3,668,130,855,82,1109,509,19.9,36.6,0.8406,1078
1503,-200,15.1,1151,406,569,143,1428,1345,11.3,60.1,0.8022,1210
1504,-200,5.9,809,81,876,93,1611,770,26.6,47.2,1.616,1007
1505,-200,15.5,1165,121,649,137,1840,974,36.6,23.3,1.4042,1137
1506,-200,4.3,729,108,875,37,1319,870,15.5,78.6,1.37,882
1507,-200,14,1117,158,714,132,1625,1092,42.8,12.3,1.0326,1127
1508,-200,1.6,554,105,1159,79,819,545,4.1,48.1,0.3975,864
1509,-200,21.1,1326,505,485,134,1943,1610,23.5,56.2,1.6048,1474
1510,-200,9,939,-200,846,-200,1658,1011,21.5,40.7,1.0301,1324
1511,-200,37.6,1721,1001,375,171,2260,1940,15.8,70.7,1.2601,1707
1512,-200,4.9,761,55,931,75,1497,893,25.8,41,1.3461,917
1513,-200,14.3,1127,189,704,84,1346,943,14.8,37.5,0.6259,1024
1514,-200,9,938,247,685,76,1395,1010,16.1,71.2,1.2948,1106
1515,-200,8.1,904,226,646,126,1249,889,20.1,32.9,0.7672,1141
1516,-200,11.4,1029,483,768,148,1160,1046,17.6,23.7,0.473,1017
1517,-200,2.2,597,30,1155,40,1396,606,21.7,46.8,1.2031,768
1518,-200,7,859,272,703,164,1017,1163,1.5,66.2,0.4571,1084
1519,-200,14,1116,157,815,137,1761,1013,40.6,15.3,1.1485,1078
1520,-200,19.9,1294,266,555,190,2031,1834,34,29.9,1.5614,1394
1521,-200,13.7,1106,129,755,110,1839,906,32.7,25.8,1.2547,1087
1522,-200,5.5,788,-200,849,-200,1018,876,8.7,44.3,0.4998,952
1523,-200,12.6,1069,471,571,216,1271,1662,8.3,57.6,0.6304,1314
1524,-200,2.7,631,145,955,103,884,505,15.6,33.3,0.5861,899
1525,-200,5.1,768,-200,850,-200,1416,835,21.2,61.5,1.5241,982
1526,145,12.5,1067,210,905,142,1654,1490,24.3,28.3,0.8471,1393
1527,-200,4.7,748,198,900,126,900,685,7.3,36.8,0.3779,928
1528,-200,9.6,964,103,822,102,1743,853,31.2,32.4,1.4517,1097
1529,-200,9.7,966,86,780,80,1748,1090,27.8,40,1.4691,1050
1530,-200,1.6,549,14,1265,26,1317,463,19.6,47.7,1.0736,877
1531,-200,13.2,1090,562,508,181,1401,1473,19.1,36.7,0.8044,1329
1532,-200,20.1,1300,331,608,136,2090,1598,24,43.1,1.2677,1277
1533,-200,5.3,778,67,1071,69,1452,591,26.8,28.1,0.9785,1030
1534,-200,13.6,1105,483,708,178,1086,1274,6.4,36.5,0.3519,1094
1535,-200,8.9,935,170,902,113,1623,1145,13.8,58,0.9083,1300
1536,-200,8.1,902,196,704,48,1481,984,17.5,76.6,1.5174,1037
1537,-200,8.5,918,141,1007,94,1393,850,22.3,24.1,0.6394,988
1538,-200,15.1,1153,584,602,283,1141,1667,6.6,34.4,0.3359,1293
1539,-200,15.8,1174,344,874,155,1481,1413,26.8,28.9,1.0019,1221
1540,54,1.9,579,-200,1267,-200,1370,562,14.5,61.4,1.0041,927
1541,-200,1.2,517,-200,1325,-200,1091,487,14.9,56.8,0.9541,755
1542,-200,18.1,1241,591,434,132,1572,1774,17.9,42.2,0.8557,1465
1543,-200,21,1323,530,496,105,1913,1641,24.4,52.5,1.5807,1468
1544,-200,2.8,637,31,1249,43,1400,559,21.6,45.8,1.1715,792
1545,-200,13,1085,-200,684,-200,1548,985,23.3,40.4,1.1421,1067
1546,-200,3.6,688,127,1127,58,1138,518,22.7,30.2,0.8217,846
1547,-200,6.3,826,66,808,71,1544,621,35.3,28.5,1.6034,985
1548,-200,3.5,680,166,890,108,1166,807,11.3,80.1,1.0741,1053
1549,524,19.1,1272,328,667,130,2011,1399,11,64.2,0.8398,1496
1550,-200,11.3,1025,395,701,128,1165,1282,14.4,35.3,0.5763,1148
1551,70,8.1,904,92,947,107,1502,1240,14.3,55.4,0.8975,1161
1552,-200,15.1,1152,176,685,125,1897,1242,26.1,37.8,1.2575,1199
1553,-200,11.3,1025,104,738,103,1757,1059,27.3,36.8,1.3207,1081
1554,31,3.6,690,62,1462,77,1333,733,11.3,56.8,0.7603,1185
1555,-200,14.8,1141,482,512,133,1536,1501,13.7,67,1.0446,1335
1556,-200,27.2,1483,775,460,186,1778,1962,16.8,48.4,0.9175,1574
1557,-200,3,652,42,1055,54,1504,816,25.9,45.1,1.4889,863
1558,-200,20.5,1309,236,655,183,1845,1170,33.7,20,1.0275,1124
1559,-200,0.4,431,-200,1539,-200,778,345,7.4,45.7,0.4714,744
1560,-200,4.2,721,-200,1052,-200,1546,663,14.2,75.6,1.2201,1032
1561,-200,28.2,1509,303,543,126,2275,1828,18.2,46.2,0.9575,1522
1562,-200,17.8,1234,852,470,138,1606,1551,8.7,79.4,0.8944,1478
1563,-200,16.2,1187,668,471,217,1490,1814,16.9,40.3,0.7717,1448
1564,-200,19.5,1282,-200,576,-200,2010,1347,27.7,53.7,1.967,1378
1565,-200,8.9,936,438,665,164,1182,1460,9.9,53.3,0.6504,1246
1566,-200,21,1324,475,490,115,1925,1530,23.3,57.9,1.6376,1475
1567,-200,-200,-200,1015,-200,210,-200,-200,-200,-200,-200,-200
1568,-200,7.8,892,-200,1015,-200,1611,786,23,43.1,1.1993,951
1569,-200,13.6,1105,371,503,140,1578,1391,21.3,46.6,1.1628,1367
1570,-200,25.5,1443,232,635,162,2068,1594,25.8,27,0.8821,1440
1571,-200,1.3,525,79,1307,67,605,332,-0.1,31.9,0.1975,761
1572,66,4,710,61,1209,70,1200,611,22.3,22.4,0.5955,894
1573,-200,2.3,607,128,1312,73,865,433,11.3,32.3,0.4329,741
1574,-200,2.4,614,45,1309,49,1350,430,22.4,39,1.04,821
1575,-200,1.6,551,30,1224,37,1443,463,24.5,56.9,1.7225,851
1576,-200,2.7,630,160,845,119,1099,809,11.8,67.9,0.9362,1044
1577,-200,25.3,1437,581,470,116,2015,1551,21.2,67.4,1.6755,1493
1578,-200,16.8,1204,552,599,167,1337,1531,3.9,57.3,0.4661,1284
1579,-200,3.9,708,162,972,93,983,581,9.7,49.8,0.5998,857
1580,-200,8.5,921,-200,626,-200,1219,1374,8.1,72.1,0.7798,1242
1581,-200,9.1,945,58,674,66,1765,1060,27.5,54.4,1.9705,1088
1582,-200,17.7,1230,404,542,103,1834,1373,25.2,53.3,1.6834,1357
1583,87,7.6,884,89,1006,101,1487,975,12.6,54.2,0.7881,1089
1584,-200,3.1,656,-200,967,-200,1440,917,27.4,39.1,1.4072,925
1585,-200,10.9,1009,181,823,96,1710,1015,25.3,35.8,1.1421,1003
1586,-200,4.4,733,156,692,79,1344,901,14.5,80.8,1.3224,1136
1587,-200,1.5,545,18,1562,29,1266,450,17.7,49.7,0.997,738
1588,-200,21.3,1332,641,601,152,1683,1550,17.8,45.7,0.9224,1236
1589,-200,9.9,976,144,740,88,1673,1340,23.9,39.3,1.1522,1072
1590,-200,23.6,1392,190,630,128,2149,1473,26.4,34.6,1.1724,1491
1591,-200,3.3,670,-200,979,-200,978,697,10.5,46.9,0.5956,881
1592,-200,3.7,692,41,1034,55,1412,734,25.5,35.7,1.1499,848
1593,-200,11.5,1032,343,717,202,1049,1136,4.7,38.3,0.3306,1086
1594,-200,20.8,1319,816,496,194,1524,1784,7.9,69.9,0.7487,1474
1595,-200,13.4,1096,-200,635,-200,1636,1050,36.4,23.6,1.4064,1113
1596,-200,-200,-200,128,-200,116,-200,-200,-200,-200,-200,-200
1597,-200,7.3,868,330,664,156,1205,1240,4.4,82,0.6938,1179
1598,-200,7.9,894,355,636,187,1200,1372,17.5,40.7,0.8073,1180
1599,-200,6.8,847,273,636,151,1297,1132,13.6,63.4,0.9794,1200
1600,-200,6.5,836,-200,840,-200,1498,696,29.6,35.4,1.4426,982
1601,-200,6.8,848,102,981,80,1568,822,20.8,41.6,1.0091,1239
1602,-200,20,1298,565,498,111,1821,1577,20,63.9,1.4805,1351
1603,-200,11.4,1028,352,661,126,1480,1050,17.7,55.5,1.1127,1129
1604,-200,4,712,-200,979,-200,1303,734,17.2,66.7,1.2987,942
1605,366,22.3,1359,252,724,161,1998,1671,25.3,26.1,0.8264,1579
1606,-200,9.7,965,168,734,109,1744,1049,27.9,42.7,1.5754,1088
1607,-200,7.2,867,30,828,37,1468,660,34.3,24.5,1.3021,958
1608,-200,3.7,695,56,910,39,1429,627,22.2,65.6,1.7355,952
1609,-200,17.4,1221,385,755,180,1599,1290,29.2,26.9,1.0709,1218
1610,-200,7.7,886,127,732,101,1721,900,20.8,80.9,1.9637,1056
1611,-200,8.7,926,245,674,157,1220,1020,5.4,78.2,0.7074,1174
1612,-200,22.6,1368,322,605,163,2032,1675,21.9,35.2,0.9128,1395
1613,-200,2,581,-200,1176,-200,1320,627,22.7,53.8,1.4673,813
1614,-200,23.8,1399,344,592,193,1940,1508,28.7,26.2,1.0144,1223
1615,-200,3.2,666,-200,1109,-200,1349,641,22.6,34.8,0.9441,826
1616,-200,7.6,881,53,784,67,1574,1081,27.6,38.2,1.3911,1057
1617,-200,5.3,778,-200,911,-200,1162,752,7.3,85.7,0.8818,962
1618,-200,3.4,674,162,1122,99,810,670,12.6,23.4,0.3408,792
1619,-200,14.5,1134,130,709,131,1763,1089,32.5,27.9,1.3373,1082
1620,485,16.8,1203,162,651,126,1863,1502,21.2,50.8,1.2631,1503
1621,-200,6.6,841,358,797,122,1127,1005,6.1,76.7,0.7271,996
1622,-200,3.7,693,217,928,150,832,568,9.2,29.9,0.3479,944
1623,488,32.6,1610,340,624,170,2390,1887,12.9,50.5,0.7478,1843
1624,-200,9.9,973,79,695,74,1748,1231,26.4,44.5,1.5119,1075
1625,111,8.9,935,112,843,76,1593,1126,14.4,53.1,0.8677,1120
